run_id,log_tag,dataset_id,dataset_fingerprint,sigmoid_shift,fp_cost,topk_per_day,fn_mult,train_fraud_rate,valid_fraud_rate,test_fraud_rate,valid_pr_auc,test_pr_auc,best_threshold,valid_recall_at_topk,test_recall_at_topk,valid_alert_rate,test_alert_rate,valid_net_cost,valid_fp,valid_fn,run_ts
E1_initial_experiment__D1_synthetic_fraud_data__20260224_185641,E1_initial_experiment,D1_synthetic_fraud_data,87a1e708d8,4.8,7.5,200,1.0,0.06642034942925844,0.065790741752064,0.06477577615944806,0.3103024007801815,0.28811754846081994,0.060570987654320986,0.39208984375,0.381163708086785,0.3679848372899868,0.37102338060559603,-50310.390000000014,9914,507,2026-02-24T23:56:47.926970+00:00
E2_experiment__D2_synthetic_fraud_data__20260224_191455,E2_experiment,D2_synthetic_fraud_data,6b7298e145,5.5,7.5,200,1.0,0.0371181949531624,0.03736066047736837,0.03644435926919637,0.2988756519221555,0.28866979015460703,0.046264564770390676,0.45571797076526227,0.44171779141104295,0.2711940634135372,0.2682700907116392,-5855.2300000000105,7624,345,2026-02-25T00:15:02.418388+00:00
E3_experiment__D3_synthetic_fraud_data__20260224_191732,E3_experiment,D3_synthetic_fraud_data,b5a550b6e7,4.0,7.5,200,1.0,0.1217830808848227,0.12271515307269748,0.11980963332055705,0.36130433091646574,0.356757427494638,0.07096774193548387,0.30968586387434555,0.3129832044788057,0.6216068617687687,0.6241216302542482,-148526.28,15984,454,2026-02-25T00:17:38.256241+00:00
